pmid,label,abstract
28029492,breast,"The main harm of overdiagnosis is overtreatment. However a form of overdiagnosis also occurs when foci of cancer are found by imaging in addition to the symptomatic lesion when this leads to additional treatment which does not benefit the patient. Even if overtreatment is avoided, knowledge of the diagnosis can still cause psychological harm. Overdiagnosis is an inevitable effect of mammographic screening as the benefit comes from diagnosing breast cancer prior to clinical detectability. Estimates of the rate of overdiagnosis at screening are around 10%. DCIS represents 20% of cancers detected by screening and is the main focus in the overdiagnosis debate. Detection and treatment of low grade DCIS and invasive tubular cancer would appear to represent overdiagnosis in most cases. Supplementary screening with tomosynthesis or US are both likely to increase overdiagnosis as both modalities detect predominantly low grade invasive cancers. MRI causes overdiagnosis because it is so sensitive that it detects real tumour foci which after radiotherapy and systemic therapy do not, in many cases go on and cause local recurrence if the women had had no MRI and undergone breast conservation and adjuvant therapy with these small foci left in situ."
27371970,breast,"The risk of finding carcinoma in excisions following a core needle biopsy diagnosis of radial scar is not well defined and clinical management is variable. The aim of this study is to determine the frequency of high-risk lesions, ductal carcinoma in situ, and invasive carcinoma in excisions following a core biopsy diagnosis of radial scar.Dedicated breast pathologists and radiologists correlated the histologic and radiologic findings and categorized radial scars as the target lesion or an incidental finding. High-risk lesions were defined as atypical hyperplasia or classical lobular carcinoma in situ. Of the 79 radial scars identified over a 14-year period, 22 were associated with atypia or carcinoma in the core biopsy. Thirty-seven (37) of the 57 benign radial scars underwent excision with benign findings in 30 (81%), high-risk lesions in six (16%), and flat epithelial atypia in one (3%). There were no upgrades to carcinoma. One patient with a benign radial scar developed a 3-mm focus of intermediate-grade estrogen receptor-positive ductal carcinoma in situ in the same quadrant of the ipsilateral breast 72 months after excision. One patient with an incidental un-excised benign radial scar was diagnosed with ductal carcinoma in situ at a separate site of suspicious calcifications.In this series, none of the benign radial scars was upgraded to carcinoma. Radial scar was the targeted lesion in all cases with high-risk lesions on excision. Surgical excision may not be mandatory for patients with benign incidental radial scars on core biopsy."
27866089,breast,"Lesions of uncertain malignant potential (B3) represent a heterogeneous group with an overall risk for malignancy of 9.85-35.1% after total resection. Positive predictive values (PPV) for malignancy vary depending on B3 subtype. The aim of this study was to evaluate the PPV for malignancy in B3 lesions and to determine the clinical significance of atypia-dependent sub-classification (a = without epithelial atypia; b = with epithelial atypia) of B3 into B3a and B3b and papillary lesions (PL) in PLa and PLb.219 patients with histopathologically proven B3 lesions on core needle/vacuum-assisted biopsy who subsequently underwent diagnostic excision biopsy were included in this study. PPVs for malignancy were reported for B3 in general and all B3 sub-categories. Logistic regression analysis identified associations between B3-subgroups and outcome after excision biopsy as well as the impact of clinical and diagnostic findings on excision diagnosis.The overall PPV rate was 10.0% (22/219). Excision histology exhibited a higher malignancy rate in PLb (2/7; PPV: 28.6%) than in PLa (6/127; PPV: 4.7%) (p = 0.057) and in B3b (12/50; PPV: 24.0%) compared to B3a category (8/165; PPV: 4.8%) (p < 0.001).These findings support the necessity of B3 lesion sub-classification into B3a and B3b and of PL into PLa and PLb when considering epithelial atypia. The determination of atypia status represents a relevant factor in risk-stratification for clinical management of B3 lesions. Should future studies using the sub-classification of PL confirm these results, observation may be a safe option for the clinical management of patients with asymptomatic PLa lesions."
27855345,breast,"The incidence of breast cancer in India is on the rise and is rapidly becoming the primary cancer in Indian women. The aldoketo reductase (AKR) family has more than 190 proteins including aldose reductase (AKR1B1) and aldose reductase like protein (AKR1B10). Apart from liver cancer, the status of AKR1B1 and AKR1B10 with respect to their expression and activity has not been reported in other human cancers. We studied the specific activity and expression of AKR1B1 and AKR1B10 in breast non tumor and tumor tissues and in the blood. Fresh post-surgical breast cancer and non-cancer tissues and blood were collected from the subjects who were admitted for surgical therapy. Malignant, benign and pre-surgical chemotherapy samples were evaluated by histopathology scoring. Expression of AKR1B1 and AKR1B10 was carried out by immunoblotting and immunohistochemistry (IHC) while specific activity was determined spectrophotometrically. The specific activity of AKR1B1 was significantly higher in red blood cells (RBC) in all three grades of primary surgical and post-chemotherapy samples. Specific activity of both AKR1B1 and AKR1B10 increased in tumor samples compared to their corresponding non tumor samples (primary surgical and post-chemotherapy). Immunoblotting and IHC data also indicated overexpression of AKR1B1 in all grades of tumors compared to their corresponding non tumor samples. There was no change in the specific activity of AKR1B1 in benign samples compared to all grades of tumor and non-tumors."
27788409,breast,"Amplification of the human epidermal growth factor receptor 2 (HER2) gene is associated with worse prognosis and decreased overall survival in breast cancer patients. The HER2 gene contains several polymorphisms; two of the best-characterized HER2 polymorphisms are Ile655Val and Ala1170Pro. The aim of this study was to evaluate the association between these two HER2 polymorphisms in normal breast and breast cancer tissues and known breast cancer prognostic factors in a retrospective cohort study of 73 women with non-metastatic HER2-positive breast cancer. HER2 polymorphisms were assessed in breast cancer tissue and normal breast tissue using TaqMan assay. Ala1170Pro polymorphism in normal breast tissue was associated with age at diagnosis (p = 0.007), tumor size (p = 0.004) and lymphovascular invasion (p = 0.06). Similar significant associations in cancer tissues were observed. No association between the Ile655Val polymorphism and prognostic factors were observed. However, we found significant differences in the distribution of Ile655Val (p = 0.03) and Ala1170Pro (p = 0.01) genotypes between normal breast and breast tumor tissues. This study demonstrates that only the Ala1170Pro polymorphism is associated with prognostic factors in HER2-positive breast cancer patients. Moreover, our results suggest that both HER2 polymorphisms could play a significant role in carcinogenesis in non-metastatic HER2-positive breast cancer women."
28327352,breast,Malignant phyllodes tumors of the breast are a rare entity. They occur infrequently but most often in younger women in comparison to typical epithelial-based breast cancers. Treatment of these tumors is not without controversy and in this review we will present an update on the diagnosis and management of malignant phyllodes tumors of the breast.
27420382,breast,"Reliable breast density measurement is needed to personalize screening by using density as a risk factor and offering supplemental screening to women with dense breasts. We investigated the categorization of pairs of subsequent screening mammograms into density classes by human readers and by an automated system. With software (VDG) and by four readers, including three specialized breast radiologists, 1000 mammograms belonging to 500 pairs of subsequent screening exams were categorized into either two or four density classes. We calculated percent agreement and the percentage of women that changed from dense to non-dense and vice versa. Inter-exam agreement (IEA) was calculated with kappa statistics. Results were computed for each reader individually and for the case that each mammogram was classified by one of the four readers by random assignment (group reading). Higher percent agreement was found with VDG (90.4%, CI 87.9-92.9%) than with readers (86.2-89.2%), while less plausible changes from non-dense to dense occur less often with VDG (2.8%, CI 1.4-4.2%) than with group reading (4.2%, CI 2.4-6.0%). We found an IEA of 0.68-0.77 for the readers using two classes and an IEA of 0.76-0.82 using four classes. IEA is significantly higher with VDG compared to group reading. The categorization of serial mammograms in density classes is more consistent with automated software than with a mixed group of human readers. When using breast density to personalize screening protocols, assessment with software may be preferred over assessment by radiologists."
28187373,breast,"This study evaluated the impact of breast MRI on surgical planning in selected cases of breast malignancy (invasive cancer or DCIS). MRI was used when there was ambiguity on clinical and/or conventional imaging assessment.Consecutive women with breast malignancy undergoing breast MRI were included. Clinical, mammogram and ultrasound findings and surgical plan before and after MRI were recorded. MRI findings and histopathology results were documented and the impact of MRI on treatment planning was evaluated.MRI was performed in 181/1416 (12.8%) cases (invasive cancer 155/1219 (12.7%), DCIS 26/197 (13.2%)). Indications for MRI were: clinically dense breast tissue difficult to assess (n = 66; 36.5%), discordant clinical/conventional imaging assessment (n = 61; 33.7%), invasive lobular carcinoma in clinically dense breast tissue (n = 22; 12.2%), palpable/mass-forming DCIS (n = 11; 6.1%); other (n = 19; 10.5%). The recall rate for assessment of additional lesions was 35% (63/181). Additional biopsy-proven malignancy was found in 11/29 (37.9%) ipsilateral breast recalls and 8/34 (23.5%) contralateral breast recalls. MRI detected contralateral malignancy (unsuspected on conventional imaging) in 5/179 (2.8%). The additional information from MRI changed management in 69/181 (38.1%), with more unilateral surgery (wider excision or mastectomy) in 53/181 (29.3%), change to bilateral surgery in 12/181 (6.6%), less surgery in 4/181 (2.2%). Clinical examination estimated histological size within 20 mm in 57%, conventional imaging in 55% and MRI in 71%.MRI was most likely to show concordance with histopathology in the 'discordant assessment' and 'invasive lobular' groups and less likely for 'challenging clinically dense breast tissue.' MRI changed management in 69/181 (38.1%)."
28279887,breast,"Rdevice was assessed for upstaging and subsequent malignancy at the biopsy site.RBreast Lesion Excision System, between July 2007 and August 2014, were reviewed. All non-concordant lesions (0.8%), DCIS (1.7%) and invasive cancers (9.8%) were surgically excised. Excision was recommended for all high risk lesions (13.0%). The upstage rate to DCIS or invasive cancer was determined. All patients were followed for a median of 66 months (24-96 months) with serial imaging and exams to determine the incidence of re-biopsy, or malignancy at the original biopsy site.23 of 61 high risk lesions (37.5%) were not excised, but observed for a median of 66 months. None required re-biopsy. One atypical lesion was upstaged to DCIS on excision. No patient was diagnosed with malignancy at or near the original biopsy site during follow-up. Overall upstage rate was 1.2%.Rbiopsy."
28395233,breast,"The effect of obesity in breast cancer patients undergoing neoadjuvant chemotherapy (NAC) remains controversial. The aim of this study was to determine the obesity-related effect on pathological complete response (pCR) and survival in women receiving full uncapped doses of NAC.2were considered non-obese. Those with dose reductions or dose capping were not eligible for study inclusion. Cox regression and logistic regression were performed. The Kaplan-Meier method was used to analyze disease-free, progression-free, and overall survival. The pCR served as the main outcome measure.-4-0.81; p = 0.025).Obese women receiving full uncapped doses of anthracycline-taxane-based NAC have increased pCR and favorable progression-free survival. This could result from increased dose intensity with increased efficacy and toxicity."
